Weld Part number,WELDEXE Status,WeldReport Status,Hardcheck Status,Check InStatus,Part Type,Weld Part Type
543868900184_E_2_2019-11-13-06_40_04,WELDEXE::NOTCALLED,WeldReport::NA,HARDCHK::NA,CHECKIN::FAIL,Assembly,SpecCATPart
543868900184_E_2_2019-11-13-08_03_33,WELDEXE::NOTCALLED,WeldReport::NA,HARDCHK::NA,CHECKIN::FAIL,Assembly,SpecCATPart
543868900184_E_2_2019-11-13-08_41_39,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=2::WeldLineCount=3,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
554563700123_A_6_2019-11-13-08_09_55,WELDEXE::NOTCALLED,WeldReport::NA,HARDCHK::NA,,NA,SpecCATPart
543861BIW001_NR_3_2019-11-13-09_18_47,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=676::WeldLineCount=677,HARDCHK::NULL,CHECKIN::SUCCESS,CADModule,WECATPart
541261300126_H_2_2019-11-13-09_56_34,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=9::WeldLineCount=10,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
541261300126_H_3_2019-11-13-10_46_47,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=9::WeldLineCount=10,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
289860000106_I_3_2019-11-13-09_53_57,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=90::WeldLineCount=91,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
554560100205_E_2_2019-11-13-10_03_02,WELDEXE::SUCCESS,WeldReport::FILE_NOT_PRESENT,HARDCHK::NOT_NULL,CHECKIN::FAIL,Assembly,SpecCATPart
554560100205_E_2_2019-11-13-13_11_56,WELDEXE::SUCCESS,WeldReport::FILE_NOT_PRESENT,HARDCHK::NOT_NULL,CHECKIN::FAIL,Assembly,SpecCATPart
554560100205_E_2_2019-11-13-14_29_20,WELDEXE::SUCCESS,WeldReport::FILE_NOT_PRESENT,HARDCHK::NOT_NULL,CHECKIN::FAIL,Assembly,SpecCATPart
554560100205_E_2_2019-11-13-14_40_05,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=8::WeldLineCount=9,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
544663700119_F_2_2019-11-13-11_36_24,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=21::WeldLineCount=22,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
544663700119_F_3_2019-11-13-16_29_59,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=21::WeldLineCount=22,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
553760110182_A_2_2019-11-13-11_55_55,WELDEXE::SUCCESS,WeldReport::FILE_NOT_PRESENT,HARDCHK::BYPASS,CHECKIN::SUCCESS,Assembly,SpecCATPart
544663200101_I_2_2019-11-13-12_51_24,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=9::WeldLineCount=10,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
553760110181_A_3_2019-11-13-12_55_03,WELDEXE::NOTCALLED,WeldReport::NA,HARDCHK::NA,,NA,SpecCATPart
544661800126_NR_3_2019-11-13-12_58_25,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=4::WeldLineCount=5,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
544663600113_K_2_2019-11-13-13_14_12,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=37::WeldLineCount=38,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
544663600113_K_3_2019-11-13-14_17_40,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=37::WeldLineCount=38,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
542462600191_B_3_2019-11-13-13_23_20,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=11::WeldLineCount=12,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
268065200108_F_4_2019-11-13-14_06_54,WELDEXE::NOTCALLED,WeldReport::NA,HARDCHK::NA,CHECKIN::FAIL,Assembly,SpecCATPart
268065200108_F_4_2019-11-13-14_56_26,WELDEXE::NOTCALLED,WeldReport::NA,HARDCHK::NA,CHECKIN::FAIL,Assembly,SpecCATPart
5445B3A0288001_H_2_2019-11-13-14_20_38,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=72::WeldLineCount=73,HARDCHK::NULL,CHECKIN::SUCCESS,Module,WECATPart
544665700101_I_2_2019-11-13-14_45_58,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=70::WeldLineCount=71,HARDCHK::NULL,CHECKIN::FAIL,Assembly,SpecCATPart
544665700101_I_2_2019-11-13-14_55_45,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=70::WeldLineCount=71,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
544660000183_A_3_2019-11-13-14_33_10,WELDEXE::SUCCESS,WeldReport::FILE_NOT_PRESENT,HARDCHK::NOT_NULL,CHECKIN::FAIL,Assembly,SpecCATPart
544660000183_A_3_2019-11-13-15_39_56,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=199::WeldLineCount=200,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
551770000101_NR_5_2019-11-13-15_47_53,WELDEXE::SUCCESS,WeldReport::FILE_NOT_PRESENT,HARDCHK::BYPASS,CHECKIN::SUCCESS,Assembly,SpecCATPart
553764000108_A_3_2019-11-13-16_49_18,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=21::WeldLineCount=22,HARDCHK::NULL,CHECKIN::FAIL,Assembly,SpecCATPart
553764000108_A_3_2019-11-13-18_39_53,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=21::WeldLineCount=22,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
544660000102_I_2_2019-11-13-16_56_23,WELDEXE::NOTCALLED,WeldReport::NA,HARDCHK::NA,CHECKIN::FAIL,Assembly,SpecCATPart
289862600101_H_4_2019-11-13-18_54_49,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=38::WeldLineCount=39,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
543888700126_C_3_2019-11-13-19_55_44,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=55::WeldLineCount=56,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
543888700127_D_3_2019-11-13-22_17_08,WELDEXE::SUCCESS,WeldReport::SUCCESS::FastenerCount=16::WeldLineCount=17,HARDCHK::NULL,CHECKIN::SUCCESS,Assembly,SpecCATPart
